student_id,course_id,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours,total_points_possible,total_points_earned,proportion_earned,pass_fail,subject,semester,section,int,val,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date.x,post_int,post_uv,post_tv,post_percomp,date.y,date
60186,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2087.0501,34.784168333333334,1775.0,1674.73,94.35,Pass,Anatomy,S116,01,4.2,4.333333333333333,4.5,4.142857142857143,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2015-09-17T16:41:00Z,,,,,,
66693,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2309.0334,38.483889999999995,1775.0,1674.25,94.32,Pass,Anatomy,S116,01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2015-09-10T17:43:00Z,,,,,,
66811,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,5298.8507,88.31417833333333,1775.0,1633.15,92.01,Pass,Anatomy,S116,01,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,2015-09-10T18:16:00Z,,,,,,
66862,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1746.9667,29.116111666666665,1775.0,1118.57333,63.02,Pass,Anatomy,S116,01,,,,,,,,,,,,,,,,,,,,,
67508,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2668.183,44.46971666666666,1775.0,1528.34333,86.1,Pass,Anatomy,S116,01,,,,,,,,,,,,,,,,,,,,,
70532,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,2938.4666,48.97444333333333,1775.0,1673.62,94.29,Pass,Anatomy,S116,01,4.6,4.666666666666667,4.0,4.571428571428571,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2015-09-11T17:18:00Z,,,,,,
77010,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1533.0996,25.551660000000002,1775.0,1321.61667,74.46,Pass,Anatomy,S116,01,,3.6666666666666665,3.5,3.857142857142857,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,3.0,4.0,2015-09-11T13:52:00Z,,,,,,
85249,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1209.8496,20.16416,1775.0,1602.96,90.31,Pass,Anatomy,S116,01,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2015-09-11T14:06:00Z,,,,,,
85411,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,473.0333,7.883888333333333,1775.0,1631.98333,91.94,Pass,Anatomy,S116,01,4.4,4.0,3.5,4.142857142857143,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,2015-09-10T12:08:00Z,,,,,,
85583,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,5532.4164,92.20694,1775.0,1633.10333,92.01,Pass,Anatomy,S116,01,5.0,5.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2015-09-17T14:11:00Z,,,,,,
85865,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,95.3,1.5883333333333334,1775.0,959.91333,54.08,Pass,Anatomy,S116,01,,,,,,,,,,,,,,,,,,,,,
85866,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,3050.0831,50.83471833333333,1775.0,1373.36,77.37,Pass,Anatomy,S116,01,5.0,4.666666666666667,4.0,4.857142857142857,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2015-09-17T12:57:00Z,,,,,,
85970,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,610.8334,10.180556666666666,1775.0,1538.4,86.67,Pass,Anatomy,S116,01,4.2,4.0,3.5,4.142857142857143,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2015-09-22T17:32:00Z,,,,,,
86072,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,608.1834,10.13639,1775.0,1682.97,94.82,Pass,Anatomy,S116,01,4.8,4.666666666666667,3.5,4.714285714285714,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2015-09-11T12:03:00Z,,,,,,
86119,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2127.0664,35.45110666666667,1775.0,1311.62,73.89,Pass,Anatomy,S116,01,4.0,4.666666666666667,4.5,4.571428571428571,5.0,5.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,2015-11-12T19:35:00Z,,,,,,
86267,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,406.0001,6.766668333333333,1775.0,776.77,43.76,Fail,Anatomy,S116,01,5.0,5.0,4.5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2015-09-14T01:18:00Z,,,,,,
86275,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,7067.1498,117.78583,1775.0,1680.88,94.7,Pass,Anatomy,S116,01,4.4,4.0,3.0,4.285714285714286,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,2015-09-17T14:19:00Z,,,,,,
86277,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3856.8672,64.28112,1775.0,1616.36666,91.06,Pass,Anatomy,S116,01,4.2,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,2015-09-20T23:53:00Z,,,,,,
86286,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,4140.4495,69.00749166666667,1775.0,1726.25,97.25,Pass,Anatomy,S116,01,4.2,3.6666666666666665,2.5,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,2015-09-22T14:50:00Z,,,,,,
86294,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,4239.5495,70.65915833333334,1775.0,1514.66667,85.33,Pass,Anatomy,S116,01,4.0,4.333333333333333,3.5,4.142857142857143,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2015-09-17T12:50:00Z,,,,,,
86429,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,7003.0005,116.716675,1775.0,1604.61,90.4,Pass,Anatomy,S116,01,,,,,,,,,,,,,,,,,,,,,
86432,AnPhA-S116-01,M,Scheduling Conflict,Approved/Enrolled,3715.9002,61.931670000000004,1775.0,1330.71333,74.97,Pass,Anatomy,S116,01,3.8,4.0,3.0,3.857142857142857,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2015-09-10T14:47:00Z,,,,,,
86446,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2527.6997,42.128328333333336,1775.0,1560.63,87.92,Pass,Anatomy,S116,01,4.0,3.6666666666666665,3.0,3.857142857142857,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2015-09-10T16:41:00Z,,,,,,
86451,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,4176.8337,69.613895,1775.0,1692.77,95.37,Pass,Anatomy,S116,01,4.4,4.333333333333333,4.0,4.285714285714286,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,2015-09-11T17:11:00Z,,,,,,
86476,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1937.5168,32.29194666666667,1775.0,1656.06166,93.3,Pass,Anatomy,S116,01,,,,,,,,,,,,,,,,,,,,,
86479,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2712.234,45.2039,1775.0,1653.81667,93.17,Pass,Anatomy,S116,01,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2015-09-11T02:08:00Z,,,,,,
86484,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1872.0336,31.20056,1775.0,1496.61,84.32,Pass,Anatomy,S116,01,4.2,4.666666666666667,4.5,4.428571428571429,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2015-09-11T15:35:00Z,,,,,,
86488,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3599.7168,59.99528,1775.0,1583.005,89.18,Pass,Anatomy,S116,01,4.2,3.6666666666666665,4.0,3.857142857142857,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2015-09-17T12:58:00Z,,,,,,
86492,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,893.1332,14.885553333333332,1775.0,708.2750000000001,39.9,Fail,Anatomy,S116,01,4.0,4.0,3.5,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2015-09-17T15:38:00Z,,,,,,
86504,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1551.3498,25.85583,1775.0,1328.37,74.84,Pass,Anatomy,S116,01,1.8,2.333333333333333,2.5,2.142857142857143,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2015-09-11T11:37:00Z,,,,,,
86588,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,67.5167,1.1252783333333334,1775.0,534.0,30.08,Fail,Anatomy,S116,01,5.0,4.666666666666667,5.0,4.857142857142857,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2015-09-14T11:53:00Z,,,,,,
86608,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3109.0664,51.817773333333335,1775.0,1404.09,79.1,Pass,Anatomy,S116,01,4.0,4.0,3.5,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2015-09-11T11:36:00Z,,,,,,
87043,AnPhA-S116-01,F,Other,Approved/Enrolled,1587.1833,26.453055,1775.0,1639.47,92.36,Pass,Anatomy,S116,01,5.0,4.666666666666667,4.5,4.857142857142857,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2015-09-13T02:34:00Z,,,,,,
87166,AnPhA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1471.8833,24.531388333333332,1775.0,1413.97333,79.66,Pass,Anatomy,S116,01,4.6,4.333333333333333,4.5,4.428571428571429,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2015-09-10T13:42:00Z,,,,,,
88050,AnPhA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2130.6666,35.51111,1775.0,1270.30666,71.57,Pass,Anatomy,S116,01,4.2,4.333333333333333,4.0,4.142857142857143,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2015-09-18T12:47:00Z,,,,,,
88068,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,535.8334,8.930556666666666,1775.0,1275.17667,71.84,Pass,Anatomy,S116,01,4.6,4.666666666666667,4.5,4.571428571428571,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2015-09-11T01:58:00Z,,,,,,
88099,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,2615.4998,43.59166333333334,1775.0,1484.45166,83.63,Pass,Anatomy,S116,01,3.8,4.0,3.0,3.857142857142857,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2015-09-10T15:28:00Z,,,,,,
88153,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,6954.6997,115.91166166666667,1775.0,1646.79,92.78,Pass,Anatomy,S116,01,3.2,3.333333333333333,2.5,3.142857142857143,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2015-09-17T15:08:00Z,,,,,,
88641,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1998.4998,33.30833,1775.0,1550.88,87.37,Pass,Anatomy,S116,01,3.6,4.0,3.5,3.7142857142857135,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2015-09-15T11:21:00Z,,,,,,
89142,AnPhA-S116-01,F,Other,Approved/Enrolled,3067.4676,51.12446,1775.0,1704.83,96.05,Pass,Anatomy,S116,01,5.0,4.333333333333333,3.5,4.714285714285714,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,2015-09-25T23:40:00Z,,,,,,
89194,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,317.2168,5.286946666666666,1775.0,1511.43333,85.15,Pass,Anatomy,S116,01,3.6,3.333333333333333,3.5,3.4285714285714284,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2015-09-17T15:13:00Z,,,,,,
89918,AnPhA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,6009.3666,100.15611,1775.0,1381.53,77.83,Pass,Anatomy,S116,01,4.6,4.333333333333333,3.5,4.428571428571429,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2015-09-11T13:19:00Z,,,,,,
90305,AnPhA-S116-01,F,Scheduling Conflict,Approved/Enrolled,2363.6832,39.39472,1775.0,1323.86666,74.58,Pass,Anatomy,S116,01,5.0,4.666666666666667,5.0,4.857142857142857,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2015-09-17T15:20:00Z,,,,,,
56152,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,4438.8165,73.98027499999999,1775.0,1706.38,96.13,Pass,Anatomy,S116,02,4.8,4.333333333333333,4.0,4.714285714285714,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,2015-10-08T19:42:00Z,,,,,,
57188,AnPhA-S116-02,M,Learning Preference of the Student,Approved/Enrolled,5305.4334,88.42389,1775.0,1511.14,85.13,Pass,Anatomy,S116,02,4.0,5.0,3.5,4.285714285714286,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,2015-09-09T16:25:00Z,,,,,,
65627,AnPhA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,2164.9001,36.08166833333333,1775.0,1473.765,83.03,Pass,Anatomy,S116,02,4.0,4.0,3.5,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2015-09-21T14:14:00Z,,,,,,
70192,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,1537.1834,25.619723333333333,1775.0,1721.08333,96.96,Pass,Anatomy,S116,02,4.8,4.333333333333333,4.0,4.571428571428571,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,2015-10-05T16:19:00Z,,,,,,
